,Unnamed: 0,type,name,author,event,year,names,conf,id,Title,acronym,source,rank,hasData,primaryFoR,FoR2,FoR3
21,155,c,Spectrally Efficient Cooperative Scheme with Implicit Feedback Assisted Transmission.,"['Ashish James', 'A. S. Madhukumar', 'Ernest Kurniawan', 'Surya Dharma Tio']",VTC Fall,2010,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
22,156,c,Power Spectral Analysis of Orthogonal Pulse-Based TH-UWB Signals.,"['Sudhan Majhi', 'A. S. Madhukumar', 'Youssef Nasser', 'Jean-François Hélard']",VTC Spring,2010,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
23,157,c,"Cognitive Radios in Cooperative Environment: Detection, Sensing and Clustering of Spectral Bands.","['Duy Duong Nguyen', 'A. S. Madhukumar', 'Surya Dharma Tio', 'Boon Chong Ng']",VTC Fall,2010,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
24,161,c,Incremental Code Relaying Protocol for Cooperative Communications.,"['Ashish James', 'Ernest Kurniawan', 'A. S. Madhukumar']",VTC Fall,2009,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
25,162,c,Heuristic Antenna Selection Algorithm for Multiuser Multi-Antenna Downlink.,"['Ernest Kurniawan', 'A. S. Madhukumar', 'Francois P. S. Chin']",VTC Spring,2009,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
26,163,c,Theoretical Capacity Analysis of TH-UWB Systems for Orthogonal Pulse Based Modulation Schemes.,"['Sudhan Majhi', 'Weidong Xiang', 'A. S. Madhukumar', 'A. Benjamin Premkumar']",VTC Fall,2008,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
27,164,c,MUI Cancellation for Uplink BS-CDMA in Broadband Mobile Communication Systems.,"['Xiaoming Peng', 'Surya Dharma Tio', 'Francois P. S. Chin', 'A. S. Madhukumar']",VTC Fall,2008,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
28,165,c,Relaying and Power Control Strategy for 2-Hop Distributed Cooperative Communication.,"['Ernest Kurniawan', 'A. S. Madhukumar', 'Francois P. S. Chin']",VTC Spring,2008,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
29,171,c,Sub Optimal Antenna Selection Method for MIMO-OFDM Systems.,"['Ernest Kurniawan', 'A. S. Madhukumar', 'Francois P. S. Chin']",VTC Spring,2007,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
30,177,c,On Channel Estimation for Layered Space-Time Block Spread CDMA Systems.,"['Surya Dharma Tio', 'A. S. Madhukumar', 'A. Benjamin Premkumar', 'Xiaoming Peng']",VTC Spring,2006,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
31,178,c,Diagonally Loaded Linear MMSE Equalization for UWB Multipath Channel Under Limited Training Sample Support.,"['Zhiwei Lin', 'A. Benjamin Premkumar', 'A. S. Madhukumar', 'Francois P. S. Chin']",VTC Spring,2006,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
32,183,c,MMSE detection for high data rate UWB MIMO systems.,"['Zhiwei Lin', 'A. Benjamin Premkumar', 'A. S. Madhukumar']",VTC Fall (2),2004,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
33,196,c,Improving bandwidth efficiency for a residue number system based DS-CDMA system.,"['A. S. Madhukumar', 'Francois P. S. Chin']",VTC Fall,2001,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
34,197,c,Incorporating incremental redundancy and link adaptation in communication systems using residue number systems.,"['A. S. Madhukumar', 'Francois P. S. Chin']",VTC Fall,2001,A S Madhukumar,VTC,757,IEEE Vehicular Technology Conference,VTC,CORE2021,B,Yes,4606.0,,
