,type,name,author,event,year
0,j,Smartphone Orientation Estimation Algorithm Combining Kalman Filter With Gradient Descent.,"['Seanglidet Yean', 'Bu-Sung Lee', 'Chai Kiat Yeo', 'Chan Hua Vun', 'Hong Lye Oh']",IEEE J. Biomed. Health Informatics,2018
1,c,GAN+: Data Augmentation Method Using Generative Adversarial Networks and Dirichlet for Indoor Localisation.,"['Seanglidet Yean', 'Palak Somani', 'Bu-Sung Lee', 'Hong Lye Oh']",IPIN-WiP,2021
2,c,Feature Engineering for Grid-based Multi-Floor Indoor Localisation using Machine Learning.,"['Senglidet Yean', 'Bu-Sung Lee', 'Hong Lye Oh']",IDSTA,2020
