,type,name,author,event,year
0,c,RainGAN: Unsupervised Raindrop Removal via Decomposition and Composition.,"['Xu Yan', 'Yuan Ren Loke']",WACV (Workshops),2022
1,c,REMO: A Fast Region-and Morphology-based Scene Text Detector.,"['Chun Sing Tsang', 'Yuan Ren Loke']",TENCON,2019
2,c,Face Hallucination on Personal Photo Albums.,"['Yuan Ren Loke', 'Ping Tan', 'Ashraf A. Kassim']",ACCV Workshops (2),2012
3,c,Batch Algorithm with Additional Shape Constraints for Non-Rigid Factorization.,"['Yuan Ren Loke', 'Surendra Ranganath']",BMVC,2007
