,type,name,author,event,year
0,j,In Vivo Mechanical Behavior of Intra-abdominal Organs.,"['Boon K. Tay', 'Jung Kim', 'Mandayam A. Srinivasan']",IEEE Trans. Biomed. Eng.,2006
1,j,Transatlantic Touch: A Study of Haptic Collaboration over Long Distance.,"['Jung Kim', 'Hyun Kim', 'Boon K. Tay', 'Manivannan Muniyandi', 'Joel Jordan', 'Jesper Mortensen', 'Manuel Oliveira', 'Mel Slater', 'Mandayam A. Srinivasan']",Presence Teleoperators Virtual Environ.,2004
2,c,Characterization of Intra-abdominal Tissues from in vivo Animal Experiments for Surgical Simulation.,"['Jung Kim', 'Boon K. Tay', 'Nicholas Stylopoulos', 'David W. Rattner', 'Mandayam A. Srinivasan']",MICCAI (1),2003
